No.,Name,Address,Address 2,City,Salesperson Code,Location Code,Post Code,Phone No.,Fax No.,Contact,Salesperson Code,Customer Posting Group
C0363,MALLIKAS,"NO.128,MAIN STREET,",DARGA TOWN,,KYM,VAN11,,0342270530/077-7584880,,Mr.M.J.M.Samsudeen,KYM,SN
C0364,MAN GATE-azeem,"NO.58, MAIN STREET,",KADURUWELA,,AZEEM,VAN14,,0272222047/0777938556,,425,AZEEM,ET
C0365,MANGALA TEX PRIVATE LIMITED,NO 12A CROSS STREET,KANDY,,CE1004,VAN13,,0812205900 0814481153,,18010372461 41000114 2236 11487 609,CE1004,CE-1
C0366,MAFAHIRA TEX,,ERAVUR,,BAD DEBT,VAN14,,,,,BAD DEBT,ET
C0367,MAHANADI,NO 306 A TRINCO RD BATTTICALOA,BATICALOA,Batticaloa,ET006,VAN14,12,0763221072 /065-4927936,,,ET006,ET
C0368,MAIN TEX-THOPPUR,"MAIN STREET,",THOPPUR.,,KYM,SPK,,,,,KYM,PK
C0369,MAJEEDIA,"NO.11,MAIN STREET,",SAINTHAMARUTHU,,BAD DEBT,VAN14,,,,,BAD DEBT,ET
C0370,MALHARS,NO 09 MAIN STREET,PUTTALAM,,NW003,VAN15,,,,0490 01581000 001,NW003,NW
C0371,M.A.M.BASHEER,"2ND CROSS ST,MOULANA MARKET,",COLOBBO-11,,SPK,SPK,,777213087,,Mr.Baseer,SPK,PK
C0372,M.C.M - Eastern,"NO.239 B, MAIN STREET",MARUTHAMUNAI,,ET006,VAN14,,672223598,,A/C-7082387001/6104517/076835258,ET006,ET
C0373,M.I.M NAZEEM,"NO.43/16,JABIR MAWATHA, CHAINA FORT,",BERUWALA.,,SPK,SPK,,777004967,,,SPK,PK
C0374,M.T.M.MARZOOK,"NO.64, J.PEEPSAHIB ST,",COLOMBO 12,,SPK,SPK,,,,,SPK,PK
C0375,LUCKY CENTRE,"NO.80, STATION ROAD,",WELIGAMA.,,SPK,SPK,,771599957,,,SPK,PK
C0376,LUCKY EMPORIUM,"NO.27, AMBAGAMUWA ROAD,",GAMPOLA,,BAD DEBT,VAN13,,,,,BAD DEBT,CE-1
C0377,MAIN TEX-MOODHUR,,MOODHUR,,SPK,SPK,,,,,SPK,PK
C0378,LEAGUE,"NO.504, DUPLICATION ROAD,",COLOMBO 04,,CN002,VAN1,,115339886,,J.Izadeen(A/C-03327580117),CN002,CN
C0379,LEOMAN MENS WEAR,"OPP TOWN JUMMA MOSQUE, MAIN STREET,",KALMUNAI,,ET006,VAN14,,0775022571/0672225087,,A.L.M.Naushad(A/C-11250006650),ET006,ET
C0380,LINTON'S,"NO.238/4,KOTTE ROAD,JUBELEE POST MIRIHANA,",NUGEGODA.,,BAD DEBT,VAN12,,,,,BAD DEBT,CS
C0381,LINTON & SONS,NO 515 PERADENIYA ROAD,KANDY,,CE1004,VAN13,,777809575,,18010647706,CE1004,CE-1
C0382,LIONAL TEX TRINCO,"NO.35, N.C.ROAD,",TRINCOMALEE,,NW003,VAN15,,262221091,,G.K.H.S.D.Silva/W.E.Kumarase(73282598//6596961/,NW003,NW
C0383,LALSONS - AML-Kollu,,KOLLUPITIYA,,BAD DEBT,VAN1,,,,,BAD DEBT,CN
C0384,LANKA SALUSALA,"PO BOX 1649,NO:93,JA-WATTA ROAD,",COLOMBO 05,,A OTHERS,VAN12,,,,,A OTHERS,CS
C0385,LANKA TEX-HOROWPATHANA,"NO:66,MAIN STREET,HOROWPATHANA",TRINCOMALEE,,SPK,SPK,,,,,SPK,PK
C0386,LAVANKA FASHION,,KATHARAGAMA,,BAD DEBT,VAN11,,,,,BAD DEBT,SN
C0387,LAVILLA SHOPPING MALL,,MIRISWATTE,,BAD DEBT,VAN12,,,,,BAD DEBT,CS
C0388,KALANI CABLES,"P.O.BOX 14,WEWALDUWA,",KELANIYA.,,BAD DEBT,VAN1,,,,,BAD DEBT,CN
C0389,KALYANI SILK HOUSE,BAZZAR STREET,VAWNIYA,,BAD DEBT,VAN14,,,,,BAD DEBT,ET
C0390,KASEE SALU,"BANK SIDE,",ANURADHAPURA,,BAD DEBT,VAN15,,,,,BAD DEBT,NW
C0391,KITHSIRI TRADE CENTRE,"MAIN STREET,",PELMADULLA,,BAD DEBT,VAN7,,,,,BAD DEBT,CE-2
C0392,KOTUWE KADE-KANDY,"NO.563,PERADENIYA ROAD,",KANDY(office @ Matara),,CE1004,VAN13,,0777238190/081-2234264,,Mr.Chandimal Wijewickrama(A/C-042010012109),CE1004,CE-1
C0393,KOTUWE KADE MATARA,NO 05 WILFRED GUNASEKARA MAWATHA FORT,MATARA,,SN003,VAN11,,0777238190/0412223638 2226538,,Mr Chandimal Wijewickrama,SN003,SN
C0394,KUMARA STORES - Accessories,"NO.221/1,MATTHEGODA ROAD, KOTTAWA,",PANNIPITIYA,,CS001,VAN12,,,,A/C-3966149001/9732763/1121000003,CS001,CS
C0395,L & D TEXTILES,,CHILAW,,BAD DEBT,VAN15,,,,,BAD DEBT,NW
C0396,KALA TAILORS,"NO:421,MAIN STREET,",PANADURA.,,BAD DEBT,VAN12,,,,,BAD DEBT,CS
C0397,JUMLA TEX BRW,"NO.08,BHM BULDING,",BERUWALA,,SPK,SPK,,,,,SPK,PK
C0398,JHAN'S CO (PVT) LTD,"NO.89, LOWER STREET,",BADULLA.,,BAD DEBT,VAN7,,,,,BAD DEBT,CE-2
C0399,JAPAN SHOPPING CENTRE,"STATION ROAD,",ALUTHGAMA.,,SPK,SPK,,,,,SPK,PK
C0400,INDUNILA RAMBEWA,,RAMBEWA,,NW001,VAN15,,,,,NW001,NW
C0401,INOSEL SUIT SELECTION,"CHILAW ROAD,",WENNAPPUWA.,,AX FORCE-1,VAN15,,,,,AX FORCE-1,NW
C0402,INTER FASHION,"NO.372 , GALLE ROAD,",PANADURA,,BAD DEBT,VAN12,,,,,BAD DEBT,CS
C0403,INZAMAN TEX,"NO:12A,FIRST FLOOR,SUPER MARKET,",BERUWALA.,,AX FORCE-1,VAN11,,,,,AX FORCE-1,SN
C0404,IRFAN TEX,MAIN STREET,TOPPUR,,BAD DEBT,VAN14,,,,,BAD DEBT,ET
C0405,IDUWARA,"HAYESHA BUILDING,NEAR COM BANK, PALLEGAMA ROAD,",EMBILIPITIYA,,BAD DEBT,VAN7,,,,,BAD DEBT,CE-2
C0406,IMAGE DARGATOWN,"NO.02,JEELAN ROAD,",DHARGATOWN,,SPK,SPK,,,,,SPK,PK
C0407,IMTHIYAS ASIAN DESIGNERS,NO 38 S D S JAYASINGHE MAWATHA KALUBOWILA,DEHIWALA,Dehiwala,CT001,VAN3,34,0113137844/0712309996,,Mr M H M Imthiyaz 65584 001,CT001,SCT
C0408,STYLE MEN'S,"NO.135 A, MAIN STREET,",MARATHAMUNAI,,ET006,VAN14,,0711066750/077-2635704,,Mr.M.T.M.Rizam,ET006,ET
C0409,HOUSE OF HIDHAYATH,NO 83 H K EDMOND MAWATHA THANIPOLGAHA JUNCTION,GALLE,Galle,SN003,VAN11,41,0777567968/091-2234931,912234932,Al haj Ajisal Mohamed,SN003,SN
C0410,HASSAN'S TEX,,KAHAWATTE,,SPK,SPK,,,,,SPK,PK
C0411,HABEEBA DISTRIBUTORS,"NO:166/3,WAIDYA ROAD,",DEHIWALA,,KYM,SPK,,,,,KYM,PK
C0412,H-MART,"NO:240,MAIN STREET,",AKKARAIPATTU.,,BAD DEBT,VAN14,,,,,BAD DEBT,ET
C0413,GLOBAL ENTERPRISES,NO 111 WAJIRAGNANA MAWATHA,WELIGAMA,Weligama,SN003,VAN11,117,412252505,,,SN003,SN
C0414,GENTS COURT,"NO.38, OLD THANGALLA ROAD,KOTUGODA,",MATARA,,BAD DEBT,VAN11,,,,,BAD DEBT,SN
C0415,GET ESEY,"NO.68,1ST FLOOR, BUS STAND COMPLEX,",KURUNEGALA,,CE1004,VAN13,,0375679191/077-9913534,,Mr.A.S.M.Waseem(426001/101000206068),CE1004,CE-1
C0416,CHEAP SIDE-BALANGODA,"NO: 24, MAIN STREET,",BALANGODA,,ET006,VAN14,,0452287346/77886005/0777886332,452287044,Mr.M.S.H.Ameer(A/C 1820020466/5223/3701/3702,ET006,ET
C0417,CITY POINT-AKURANA,"ASNA SUPERMARKET,",AKURANA,,CE1001,VAN13,,,,,CE1001,CE-1
C0418,FRANCHISE -SIGNATURE AKKARAIPATHU,"NO:93/2,MAIN STREET,",AKKARAIPATTU,,MAINSTORES,,,,,,MAINSTORES,FRANCHISE
C0419,FATHIMA'S,"BUHARY JUNCTION,",KINNYA - 05,,NW003,VAN15,,779595924,,B.M.Fais(8510786/169010003275/4378,NW003,NW
C0420,NISELTA,NO 532 COLOMBO ROAD,KATUNERIYA,,NW003,VAN15,,0312251915/077-7726361,,M B E Fernando 101000237699 1550008880 722 4440,NW003,NW
C0421,FRANCHISE SHOP- LAVILLA,PILIYANDALA,,,,,,,,,,FRANCHISE
C0422,FRANCHISE SHOP - THILAKA FASHIONS,"NO.119, BANK SIDE",ANURADHAPURA,,MAINSTORES,,,252234370,,,MAINSTORES,FRANCHISE
C0423,FRANCHISE SIGNATURE-MALABE,"55 A, METRO CENTRE,",MALABE.,,MAINSTORES,,,112762501,,Mr.Mendis,MAINSTORES,FRANCHISE
C0424,APOTHECARIES,"NO.07, ISPATHANE MAWATHA",COLOMBO 05,,BAD DEBT,VAN12,,112569388,,,BAD DEBT,CS
C0425,ARADANA TEX,,,,BAD DEBT,VAN15,,,,,BAD DEBT,NW
C0426,ARMANI TEX,,NINTHAVUR,,BAD DEBT,VAN14,,,,,BAD DEBT,ET
C0427,C P WORLD LANKA (PVT) LTD,"NO-149,FRIGHT HOUSE,UNION PLACE,",COLOMBO 02,,CS001,VAN12,,,,,CS001,CS
C0428,D.A.D FASHION,,,,BAD DEBT,VAN12,,,,,BAD DEBT,CS
C0429,EXPRESS,"NO.01, K.K. STREET,",PUTTALAM,,BAD DEBT,VAN15,,,,,BAD DEBT,NW
C0430,FANCY PALACE,"SUPER MARKET BUILDING,",BERUWELA,,BAD DEBT,SPK,,,,,BAD DEBT,PK
C0431,FASHION PARK-DEH (Ner),"NO.164 A, GALLE ROAD,",DEHIWALA,,BAD DEBT,VAN1,,112721065,,,BAD DEBT,CN
C0432,FRENCH CORNER,"NO:18,KAWDANA ROAD,",DEHIWALA,,BAD DEBT,VAN12,,112737441,,,BAD DEBT,CS
C0433,HUSSAIMA TEXTILE,"NO.41,WILMET STREET",HAMBANTHOTA,,BAD DEBT,VAN11,,474378055,,,BAD DEBT,SN
C0434,J.N TEX,"NO.169/6A,INTERNATIONAL PLAZA, 2ND CROSS ST",COLOMBO 11,,SPK,SPK,,774454564,,,SPK,PK
C0435,JANAKANTHA TEXTILE,"NO:20, BUS STAND,",WELIMADA.,,BAD DEBT,VAN7,,572246630,,,BAD DEBT,CE-2
C0436,KAILASH FASHION,"NO:57,BAZZAR STREET,",BADULLA,,BAD DEBT,VAN7,,,,,BAD DEBT,CE-2
C0437,KATINA,,JA-ELA,,BAD DEBT,VAN1,,602310580,,,BAD DEBT,CN
C0438,LANKA TEXTILE,"NO.159, BAZAR STREET",CHILAW,,BAD DEBT,VAN15,,0778092020/011-2731886,,Mr. Farhan,BAD DEBT,NW
C0439,MAHAROOF TEXTILES,,NINTHAVUR,,SPK,SPK,,,,,SPK,PK
C0440,MARRIKKAR SARONG CENTRE-OLD,"NO.45,MAIN STREET",PUTHTALAM,,BAD DEBT,SPK,,,,,BAD DEBT,PK
C0441,MAYURA TRADE CENTR,NO 06 MODEL SHOP NEW SHOP STREET,NUEARAELIYA,Nuwara Eliya,CE1004,VAN13,88,713254031,,Loshan Lenad,CE1004,CE-1
C0442,MUFEETH- AKP,"SIGNATURE, 93/2,MAIN STREET,",AKKARAIPATHU,,ET005,VAN14,,,,,ET005,ET
C0443,NEKMO TEX (P/ADD),"NO.492/A , NEGAMBO RD, HANADALA JUNCTION",WATTALA,,BAD DEBT,VAN1,,112939324,,,BAD DEBT,CN
C0444,NEW MANEL SMART HOUSE,"NO.28, DEHIWELA ROAD,",MAHARAGAMA.,,CN003,VAN1,,,,Mr.Ajith,CN003,CN
C0445,NILAM TRADERS,181 TRINCO ROAD,BATICALO,,ET006,VAN14,,0652228999/065-2229090,,A C 0010011470 0000683001 864 001 7001,ET006,ET
C0446,OAK-RAY REGENCY,"02ND RAJASINGHE MAWATHA,GETAMBE,",KANDY,,CE1001,VAN13,,8149550016,,,CE1001,CE-1
C0447,PLATINAM,"NO;219,ST.THILAKARATHNE MAWATHA",NUGEGODA,,CE2001,VAN7,,777488121,,Mr.Ponnamperuma,CE2001,CE-2
C0448,RAHEEM TEX,"MAIN STREET,",SAMMANTHURAI.,,BAD DEBT,VAN14,,672260681,,,BAD DEBT,ET
C0449,ROYAL FASHION-MATARA.,"NO.143, ANAGARIKA DARAMAPALA MW,",MATARA.,,BAD DEBT,VAN11,,412226488,,,BAD DEBT,SN
C0450,ROYAL TAILORS,"NO.20, SHOPPING COMPLEX, KATUBEDDA",RATMALANA.,,BAD DEBT,VAN12,,112610018,,,BAD DEBT,CS
C0451,RUBY TEX,"NO.509, ARIYADASA BUILDING, ANURADHAPURA RD,",DAMBULLA,,NW003,VAN15,,662284926,,A/C-0002603370/10015200/4357,NW003,NW
C0452,S.V.EM (PVT) LTD,"NO.338.GALLE ROAD,",COLOMBO - 06.,,BAD DEBT,VAN1,,0112337151 / 011-2449512,,,BAD DEBT,CN
C0453,SADEEPA,"WATAPOYHA ROAD,",NIVITIGALA.,,BAD DEBT,VAN7,,,,,BAD DEBT,CE-2
C0454,SAFAYAS,"NO. 13, OLD TANGALLE ROAD,",MATARA.,,SPK,SPK,,412220354,,,SPK,PK
C0455,SAGARA TAILORS,NO.77 MAIN STREET,COLOMBO-11,,BAD DEBT,VAN1,,112320059,,,BAD DEBT,CN
C0456,SALIENT SIDE,"NO:253,MAIN STREET",RATNAPURA,,BAD DEBT,VAN7,,452222392,,,BAD DEBT,CE-2
C0457,SANAFAS,"NO.30, MAIN STREET,",KALMUNAI,,BAD DEBT,VAN14,,,,,BAD DEBT,ET
C0458,SUBANI,,WEYANGODA,,BAD DEBT,VAN13,,,,,BAD DEBT,CE-1
C0459,SUPER FASHION,NO 281 GALLE ROAD,PANADURA,,CT001,VAN4,,777768408,,MR P Janaka A C 0070725334 327,CT001,SCT
C0460,SWEE HI FASHION,"NO.80, NEGAMBO ROAD,",PELIYAGODA.,,BAD DEBT,VAN1,,,,,BAD DEBT,CN
C0461,TOP MARK,"NO:73,STATION ROAD,",WELIGAMA.,,BAD DEBT,SPK,,412250369,,Al-Haj Mohommed Makeem,BAD DEBT,PK
C0462,WIJAYA GROUP,"NO:101,PAMUNUWA ROAD,",MAHARAGAMA,,BAD DEBT,VAN12,,0112897035/4,,Ms.Sharmila,BAD DEBT,CS
C0463,X STYLE-MT.LAVINIA-Sellepperuma,"NO.194, GALLE ROAD",MT.LAVINIA,,A SELL,VAN12,,0777893472/2678158,,Mr.Assar Alli/6519,A SELL,CS
C0464,DENIMS MART,"NO.75, BODHIRAJA MAWATHA,",KURUNEGALA,,CE1004,VAN13,,773080932,,Mr.A.M.Irfan(10131818001/19010023312),CE1004,CE-1
C0465,Staff Debtors,,,,,MAINSTORES,,,,,,STAFF
C0466,R.V.FASHION,"NO.193, COLOMBO ROAD,",JA ELA,,CN003,VAN1,,0777513736/2231866,,Mr.K.Desha Nishamani Fernando(A/C-009810000888),CN003,CN
C0467,ASIAN FASHION,"NO.241, MAIN STREET",MARATHAMUNAI,,ET006,VAN14,,,,,ET006,ET
C0468,STYLO,NO 442 HOSPITAL ROAD,JAFFNA,,NW003,VAN15,,212219696,,A C 12050006709 12010000600 219010000676,NW003,NW
C0469,I-FIT FASHION,"NO,388, SOUTH CIRCULARRD,",KURUNEGALA,,CE1001,VAN13,,,,,CE1001,CE-1
C0470,MEN'S PARK,"15A, MOUSQE ROAD",KURUNAGALA,,BAD DEBT,VAN13,,,,,BAD DEBT,CE-1
C0471,TRENDZ,57M.NEW BUS STAND SHOPPING COMPLEX,KURUNEGALA,,CE1004,VAN13,,719779248,,Mr.H.M.Prasanna Sanjeewa Piyasekara,CE1004,CE-1
C0472,A.C.M.FAHIM,BERUWELA,,,SPK,SPK,,,,,SPK,PK
C0473,FLASH POINT,AKKARAIPATHU,,,SPK,SPK,,,,,SPK,PK
C0474,LIYAFAS,"100B, MAIN STREET,",KAHAWATTA,,SPK,SPK,,776282725,,M.S.M.Hilmi,SPK,PK
C0475,MICRO TEX-DARGA TOWN,DHARGATOWN,,,SPK,SPK,,,,,SPK,PK
C0476,MOULAVI & SONS,"MAIN STREET,",SAMMANTHURAI,,SPK,SPK,,,,,SPK,PK
C0477,NEW GRAY TEX,"KEYZER STREET,",COLOMBO 11,,SPK,SPK,,,,,SPK,PK
C0478,RIZVI TEX,"NEW MOULANA COMPLEX,184/186/B4, 2ND CROSS STREET,",COLOMBO 11,,SPK,SPK,,,,0758534047/0777001487,SPK,PK
C0479,CASH SALES-Pakeeza,PAKEEZA,,,SPK,SPK,,,,,SPK,PK
C0480,Counter Sales,,,,MAINSTORES,,,,,,MAINSTORES,COUNTER
C0481,LINK,"NO.375,MAIN STREET",NEGAMBO,Negambo,NW001,VAN15,24,0312227733/077-7561445,,Mr.S.M.Nawshard,NW001,NW
C0482,CASUAL SELECTION-AZEEM,"163/20, MAIN STREET, MATHUGAMA ROAD,",ALUTHGAMA,,AZEEM,VAN11,,776836149,,Mohamed Mafaz(A/C0074317971),AZEEM,SN
C0483,SAKURAN FASHION,"SUPER MARKET, DOWN FLOOR,",ELPITIYA,,SN003,VAN11,,779066081,,Mr.B.L.B.Sarath Kumara,SN003,SN
C0484,CASH SALES-Southern,RAJKUMAR,,,SN003,VAN11,,,,,SN003,SN
C0485,WILLS DESIGN (PVT) LTD - Accessories,"# 173, RATHNAPURA ROAD",HORANA,,CS001,VAN12,,0382260777/0777-037618,,Mr.B.A.D.P.Namal(A/C-069010011383),CS001,CS
C0486,SPECIAL SALE ACTION - HSM,,,,MAINSTORES,MAINSTORES,,,,,MAINSTORES,COUNTER
C0487,UNLIMID FASHION DAMBULLA,NO 489 ANURADHAPURA ROAD,DAMBULLA,,NW003,VAN15,,773656006,,Mr Anifar Mohommed Munifar A C 0010031030 346,NW003,NW
C0488,COMPLEMENT,Moratuwa,,,,,,,,,,COUNTER
C0489,BUDDIMA DRESS POINT,,NIKAWARATIYA,,NW001,VAN15,,,,,NW001,NW
C0490,HUZAIMA LABA KADE,"NO:72-74, BAZZAR STREET,",HAMBANTHOTA,,SN003,VAN11,,0472221285/0714300183,,Mr.S.M.Naleem(A/C-058108000234/81001880260001/10/,SN003,SN
C0491,FAMILY CHOICE-MANNAR-Selleperuma,"NO.45, GRAND BAZZAR,",MANNAR,,A SELL,VAN14,,02356736`36/077-3535378,,Mr.M.M.M.Aslam-894/2810,A SELL,ET
C0492,PERKS CLOTHING PVT LTD.,,,,,MAINSTORES,,,,,,INTERCOMP
C0493,SPRING & SUMMER FASHION COLLECTION (PVT) LTD,"NO.216/3A PAMUNUWA ROAD,",MAHARAGAMA,,CN003,VAN1,,0779488950/011-4362614,,NUGEGODA,CN003,CN
C0494,H.D.S,,RATHNAPURA,,SPK,SPK,,,,,SPK,PK
C0495,K FASHION,"NO.48B, MAIN STREET,",HATTON,,A SELL,VAN13,,0512222694/051-2225743,51222701,S.Prabhakaran(015010007579),A SELL,CE-1
C0496,A-One,"60/3, LION PLAZA COMPLEX, PARAKUMBA STREET,",KURUNEGALA,,CE1004,VAN13,,727277738,,A.F.Rahees(0010126347001/219503001,CE1004,CE-1
C0497,T K MULTI FASHION,D S SENANAYAKE VEEDIYA,AMPARA,,ET006,VAN14,,0632222631/063-2222833,,Mr T K Siripala A C 10004420 039 001 2880,ET006,ET
C0498,DIYANA FASHION,"NO.106,, BANK SIDE,",ANURADHAPURA,,NW003,VAN15,,0252226097/98,,W.A.L.Darshana(A/C-0010085020-732,NW003,NW
C0499,CLASSY COLLECTION,"NO.623 C, NAWALA ROAD,",RAJAGIRIYA,,CS001,VAN12,,0112364131/077-7864645,,Mr.R.Suresh Kumar,CS001,CS
C0500,CASH SALE-North Western,FUWARD,,,NW003,VAN15,,,,,NW003,NW
C0501,PAMONE,"DELGAS HANDIYA,",OPANAYAKA,,SPK,SPK,,713086868,,,SPK,PK
C0502,SELLAMUTHUS TEXTILES,MAIN STREET NELLIYADY,KARAWEDDY,,NW003,VAN15,,212263238,,Mr Premkumar A C 1187010005244 41001,NW003,NW
C0503,STYLE PARK,"NO.141, K.K.S.ROAD,",JAFFNA,,SNO001,VAN2,,0212228383/071-7591671,,P.Thirurathan,SNO001,SNO
C0504,ANNAI TEX,"MAIN STREET,",,,SNO001,VAN2,,,,,SNO001,SNO
C0505,B.A.B.FASHION,PITIGALA,,,BAD DEBT,VAN11,,716048650,,Mr.B.A.B.Priyantha,BAD DEBT,SN
C0506,NEW FASHION PARK,"#82, K.K.S.ROAD,",CHUNANKAM,,ET006,VAN14,,0212210012/0777251143,,Mr.K.Nishanthan,ET006,ET
C0507,SITHMINI FASHION CORNER,"NO:04, JAYALATH BUILDING,THANGALLE ROAD,",WEERAKATIYA,,SN003,VAN11,,714422698,,Mr.H.Muditha Kumara(833735001/7235/2177,SN003,SN
C0508,JANAKA TRADE CENTER,"NO 18 1 9 WANIGASEKARA SHOPING COMPLEX UPSTAIRS,",AKURASSA,,SN003,VAN11,,777954375,,Mr T Indunil,SN003,SN
C0509,SARATHCHANDRA & CO PVT LTD,133 MAIN STREET,EMBILIPITIYA,,SN003,VAN11,,0472261157/077-8505050,,H C Deshapriya,SN003,SN
C0510,CASH SALE-Colombo South,MIRAL,,,CS001,VAN12,,,,,CS001,CS
C0511,ZEE FASHION,213 DAMBULLA ROAD,GALEWELA,,NW003,VAN15,,775311899,,S M Saneer 19121 861669 801 5793 4440 6430,NW003,NW
C0512,DANDY,"NO.D 4, SUPER MARKET,",BERUWALA,,BAD DEBT,VAN11,,0773696131/0778166529,,Mr.M.M.M.Ilman,BAD DEBT,SN
C0513,STAR FASHION,"NO.441/1,SIYAMBALAGASKOTUWA,",KURUNEGALA,,AX FORCE-1,VAN13,,0372247902/072-3103101,,Mr.A.L.A.Ramees,AX FORCE-1,CE-1
C0514,RANJANA'S TEX,"NO.04, CENTRAL MARKET,",CHUNNAKAM,,SNO001,VAN2,,,,Mr.S. Kanakanayakam,SNO001,SNO
C0515,CITY TEX & TAILORS,"NO.73, GRAND BAZAR,",,,,,,,,,,
,JAFFNA,SNO,NOVAT,,077 2208288,,Mr.Vasitharan(A/C-1100042059),,SNO,WHOLESALE,ALL,
C0516,LIHINI FASHION TAILORS,"NO.315, COLOMBO ROAD,",PILIYANDALA,,CT001,VAN3,,0112609588/071-8046848,,Mr.G.Sujith Chandana(A/C-0071749177/6529,CT001,SCT
C0517,CASH SALES-Central 1,RIMZAN,,,CE1004,VAN13,,,,,CE1004,CE-1
C0518,VANNIE STORE (PVT) LTD,"NO:316/5, THALNGAMA NORTH, KOSWATTE,",BATTARAMULLA,,CS001,VAN12,,0112789306/077-7576229,,Mr.W.W.P.P.Senarath-1860012285/22919,CS001,CS
C0519,FIVE STAR CLOTHING,"NO:32A, STATION CROSS ROAD,",KALUTARA(SOUTH),,A SELL,VAN12,,0772391104/0715-55522-4747434,,Mr.S.M.R.Baridh(1360030921/502108010596/529/724/11,A SELL,CS
C0520,OPELKA FASHION,"NO:99, ANGRUWATHOTA ROAD,",HORANA,,CS001,VAN12,,0777707802/0777-538915,,Mrs.Y.M.Malka Sandya,CS001,CS
C0521,SRIMAS DESIGN,"NO:634, GALLE ROAD,",WADDUWA,,CT001,VAN3,,0384907345/077-9020268,,Mrs.U.Deepika Ferdinando(7510000360),CT001,SCT
C0522,MEGA COLLECTION,"NO:170, COLOMBO STREET,",KANDY,,BAD DEBT,VAN13,,0812239156/077-7709903,,Mr.P.P.Kanagaraja,BAD DEBT,CE-1
C0523,SILVA SUMUDU TEX,NO 234 WELLAWAYA ROAD,BUTTALA,,ET006,VAN14,,0718072514/055-2273594,,Mr K H K K De Silva A C 0071974945 014550001145 81,ET006,ET
C0524,QSHI,"NO.191-2/1, HIGH LEVEL ROAD,",NUGEGODA,,BAD DEBT,VAN12,,0717201020/011-2816066,,Mr.R.Chandrasegar,BAD DEBT,CS
C0525,AJANTHA TEX,"NO.40, MAIN STREET,",CHENKALADY,,ET006,VAN14,,652240835,065-2240007,Mr.P.Jayakumar-01210000136,ET006,ET
C0526,NISHA DRESS POINT-Sellepperuma,"A9 ROAD,",KILINOCHCHI,,A SELL,VAN2,,750362201,,Mr.N.Nalir(A/C-1155003856),A SELL,SNO
C0527,NEW LUCKY PLAZA,"NO.502, NUWARA ELIYA ROAD,",PUSSELLAWA,,CE1004,VAN13,,0812478050/071-4257923,,Mr.M.Thamil Selvam(29010002018),CE1004,CE-1
C0528,SIMAYA'S,"164,NEW TANGALLE ROAD, KOTUWEGODA",MATARA,,SN003,VAN11,,0412222874/07144917386,,Mr.M.D.M.Dilshad(A/C0001659744/15310000490),SN003,SN
C0529,SALE HOUSE,"NO:109, MINUWANGODA ROAD,",GAMPAHA,,BAD DEBT,VAN1,,0332233795/077-7410980,,Mr.R.A.Neel Saliya Rajapaksha,BAD DEBT,CN
C0530,STEP IN,NO 47 ANAGARIKA DHARMAPALA MAWATHA,MATARA,,A SELL,VAN11,,412222579,,M S Samsudeen 76670801,A SELL,SN
C0531,T.KUMARASAMY TEXTILES,"NO.44, 42, GRAND BAZZAR",JAFFNA,,SNO001,VAN2,,0212228847/0773186842,,Mr.Wimala Kumar,SNO001,SNO
C0532,VASTHARA FASHION HOUSE (PVT) LTD,"NO.57, D.S.SENANAYAKA MAWATHA,",COLOMBO 08,,CN001,VAN1,,0114321528/0777378362,,Mr.Laxman Gunasinghe,CN001,CN
C0533,SHADES FASHION,NO 190 WELIKADA,RAJAGIRIYA,Rajagiriya,CT001,VAN3,98,0777711293/011-2866101,,Mr Roshan 410018748 410016338 410018764,CT001,SCT
C0534,RILAYA STORES(Colombo South) - Accessories,"NO.46, MAIN STREET ,",,,CS001,VAN12,,112645416,,Rizkaan & Rifkaan (A/C-001754555001/41013,CS001,CS
C0535,M.C.M - Pakeeza S/R,"NO.239 B, MAIN STREET",MARUTHAMUNAI,,SPK,SPK,,,,,SPK,PK
C0536,FAVOURITES - Pakeeza S/R,"NO.310-312, MAIN STREET,",RATHNAPURA.,,SPK,SPK,,452222847,,,SPK,PK
C0537,S.R.SELECTION - Pakeeza S/R,"NO.54B, AMPARA RD,",SAMMANTHURAI.,,SPK,SPK,SL,777142147,,,SPK,PK
C0538,COMPLEMENT - North Western,,,,NW003,VAN15,,,,,NW003,NW
C0539,COMPLEMENT - Eastern,,,,ET006,VAN14,,,,,ET006,ET
C0540,COMPLEMENT - Central 1,,,,CE1004,VAN13,,,,,CE1004,CE-1
C0541,COMPLEMENT - Central 2,,,,CE2002,VAN7,,,,,CE2002,CE-2
C0542,COMPLEMENT - Colombo South,,,,CS001,VAN12,,,,,CS001,CS
C0543,COMPLEMENT - Colombo North,,,,CN003,VAN1,,,,,CN003,CN
C0544,COMPLEMENT - Southern,,,,SN003,VAN11,,,,,SN003,SN
C0545,COMPLEMENT - D,,,,MAINSTORES,,,,,,MAINSTORES,NORMAL
C0546,EUSEBIUS TAILORS-Colombo South,"NO:25, STATION ROAD,",KALUTARA SOUTH.,,CS001,VAN12,,342225053,,,CS001,CS
C0547,U FASHION,"NO.05, 1ST CROSS STREET,",HINGURAKGODA,,AZEEM,VAN14,,778001522,,Mr.P.W.C.U.Kumara(011050002774/80991,AZEEM,ET
